Payment_No,Payment_Date,Beginning_Balance,Total_Payment,Principal_Paid,Interest_Paid,Ending_Balance
1,2026-07-01,10000.00,860.66,810.66,50.00,9189.34
2,2026-08-01,9189.34,860.66,814.72,45.95,8374.62
3,2026-09-01,8374.62,860.66,818.79,41.87,7555.83
4,2026-10-01,7555.83,860.66,822.89,37.78,6732.94
5,2026-11-01,6732.94,860.66,827.00,33.66,5905.94
6,2026-12-01,5905.94,860.66,831.14,29.53,5074.80
7,2027-01-01,5074.80,860.66,835.29,25.37,4239.51
8,2027-02-01,4239.51,860.66,839.47,21.20,3400.04
9,2027-03-01,3400.04,860.66,843.67,17.00,2556.37
10,2027-04-01,2556.37,860.66,847.88,12.78,1708.49
11,2027-05-01,1708.49,860.66,852.12,8.54,856.37
12,2027-06-01,856.37,860.66,856.37,4.28,0.00
